GPUName,DeviceID
GeForce 710A,"PCI\VEN_10DE&DEV_0FEC&SUBSYS_1802172F
PCI\VEN_10DE&DEV_1295&SUBSYS_2B0D103C
PCI\VEN_10DE&DEV_1295&SUBSYS_2B0F103C
PCI\VEN_10DE&DEV_1295&SUBSYS_367C17AA"
GeForce 710M,"PCI\VEN_10DE&DEV_1140&SUBSYS_06861025
PCI\VEN_10DE&DEV_1140&SUBSYS_06891025
PCI\VEN_10DE&DEV_1140&SUBSYS_068B1025
PCI\VEN_10DE&DEV_1140&SUBSYS_068D1025
PCI\VEN_10DE&DEV_1140&SUBSYS_068E1025
PCI\VEN_10DE&DEV_1140&SUBSYS_06911025
PCI\VEN_10DE&DEV_1140&SUBSYS_07731025
PCI\VEN_10DE&DEV_1140&SUBSYS_07741025
PCI\VEN_10DE&DEV_1140&SUBSYS_077A1025
PCI\VEN_10DE&DEV_1140&SUBSYS_077B1025
PCI\VEN_10DE&DEV_1140&SUBSYS_077C1025
PCI\VEN_10DE&DEV_1140&SUBSYS_077D1025
PCI\VEN_10DE&DEV_1140&SUBSYS_077E1025
PCI\VEN_10DE&DEV_1140&SUBSYS_077F1025
PCI\VEN_10DE&DEV_1140&SUBSYS_08411025
PCI\VEN_10DE&DEV_1295"
GeForce 7150 / NVIDIA nForce 630i,PCI\VEN_10DE&DEV_07E0
GeForce 720A,PCI\VEN_10DE&DEV_1140&SUBSYS_30B717AA
GeForce 720M,"PCI\VEN_10DE&DEV_1140&SUBSYS_AA331462
PCI\VEN_10DE&DEV_1140&SUBSYS_AE611462"
GeForce 7300 GS,PCI\VEN_10DE&DEV_01DF
GeForce 7300 GT,"PCI\VEN_10DE&DEV_02E2
PCI\VEN_10DE&DEV_0393
PCI\VEN_10DE&DEV_0395"
GeForce 7300 LE,PCI\VEN_10DE&DEV_01D1
GeForce 7300 SE,PCI\VEN_10DE&DEV_01D3
GeForce 7300 SE/7200 GS,PCI\VEN_10DE&DEV_01D3
GeForce 730A,PCI\VEN_10DE&DEV_1290&SUBSYS_2AFA103C
GeForce 7350 LE,PCI\VEN_10DE&DEV_01D0
GeForce 7500 LE,PCI\VEN_10DE&DEV_01DD
GeForce 7600 GS,"PCI\VEN_10DE&DEV_02E1
PCI\VEN_10DE&DEV_0392"
GeForce 7600 GT,"PCI\VEN_10DE&DEV_02E0
PCI\VEN_10DE&DEV_0391"
GeForce 7600 LE,PCI\VEN_10DE&DEV_0394
GeForce 7650 GS,PCI\VEN_10DE&DEV_0390
GeForce 7800 GS,PCI\VEN_10DE&DEV_00F5
GeForce 7800 GT,PCI\VEN_10DE&DEV_0092
GeForce 7800 GTX,"PCI\VEN_10DE&DEV_0090
PCI\VEN_10DE&DEV_0091"
GeForce 7800 SLI,PCI\VEN_10DE&DEV_0095
GeForce 7900 GS,PCI\VEN_10DE&DEV_0292
GeForce 7900 GT/GTO,PCI\VEN_10DE&DEV_0291
GeForce 7900 GTX,PCI\VEN_10DE&DEV_0290
GeForce 7950 GT,PCI\VEN_10DE&DEV_0295
GeForce 7950 GX2,"PCI\VEN_10DE&DEV_0293
PCI\VEN_10DE&DEV_0294"
GeForce 800A,"PCI\VEN_10DE&DEV_1058&SUBSYS_368217AA
PCI\VEN_10DE&DEV_1058&SUBSYS_368717AA
PCI\VEN_10DE&DEV_1058&SUBSYS_369517AA
PCI\VEN_10DE&DEV_1058&SUBSYS_36A817AA
PCI\VEN_10DE&DEV_1058&SUBSYS_36AC17AA
PCI\VEN_10DE&DEV_1058&SUBSYS_36AD17AA
PCI\VEN_10DE&DEV_105B&SUBSYS_30B117AA
PCI\VEN_10DE&DEV_105B&SUBSYS_36A117AA"
GeForce 800M,"PCI\VEN_10DE&DEV_1140&SUBSYS_365E17AA
PCI\VEN_10DE&DEV_1140&SUBSYS_366C17AA
PCI\VEN_10DE&DEV_1140&SUBSYS_368517AA
PCI\VEN_10DE&DEV_1140&SUBSYS_368617AA"
GeForce 805A,PCI\VEN_10DE&DEV_1295&SUBSYS_367A17AA
GeForce 8100 / nForce 720a,PCI\VEN_10DE&DEV_084F
GeForce 810A,"PCI\VEN_10DE&DEV_1295&SUBSYS_2B20103C
PCI\VEN_10DE&DEV_1295&SUBSYS_2B21103C"
GeForce 810M,"PCI\VEN_10DE&DEV_1140&SUBSYS_08691025
PCI\VEN_10DE&DEV_1140&SUBSYS_092E1025"
GeForce 8200,PCI\VEN_10DE&DEV_0849
GeForce 8200M G,"PCI\VEN_10DE&DEV_0845
PCI\VEN_10DE&DEV_0845&SUBSYS_360A103C
PCI\VEN_10DE&DEV_0845&SUBSYS_67201462"
GeForce 820A,"PCI\VEN_10DE&DEV_1140&SUBSYS_30B417AA
PCI\VEN_10DE&DEV_1140&SUBSYS_30E417AA
PCI\VEN_10DE&DEV_1140&SUBSYS_361B17AA
PCI\VEN_10DE&DEV_1140&SUBSYS_361C17AA
PCI\VEN_10DE&DEV_1140&SUBSYS_361D17AA
PCI\VEN_10DE&DEV_1140&SUBSYS_366117AA
PCI\VEN_10DE&DEV_1140&SUBSYS_369617AA
PCI\VEN_10DE&DEV_1140&SUBSYS_369B17AA
PCI\VEN_10DE&DEV_1140&SUBSYS_369C17AA
PCI\VEN_10DE&DEV_1140&SUBSYS_369D17AA
PCI\VEN_10DE&DEV_1140&SUBSYS_369E17AA
PCI\VEN_10DE&DEV_1140&SUBSYS_36A617AA
PCI\VEN_10DE&DEV_1140&SUBSYS_36A717AA
PCI\VEN_10DE&DEV_1140&SUBSYS_36A917AA
PCI\VEN_10DE&DEV_1140&SUBSYS_36AF17AA
PCI\VEN_10DE&DEV_1140&SUBSYS_36B017AA
PCI\VEN_10DE&DEV_1140&SUBSYS_36B617AA"
